stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
﻿포바이포,389140,2025-06-10,낼 상한가,jsk6****,가나요??,[],119,0,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304043519&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,내일도 떨어지면 추매 들어간다~ㅎㅎㅎ,lwh8****,어차피 포포야~ 니 꼴리는대로 하고싶은거 다해라! 끝까지 가보자 이 끝이 어디인지 모르겠지만...,"['정신은 챙기고 다니자', '그 끝은 한강', '종목과 사랑에 빠지지마라']",308,6,4,https://finance.naver.com/item/board_read.naver?code=389140&nid=304041538&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,이공시,ssyo****,뭐냐?,"['아~~~ 감사', '주식매수선택권행사는 직원이 스톡옵션행사하는거라 하네요']",631,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304039557&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,들어가면 물리는 차트....,hipp****,"수급이 진짜 나쁨.... 상승할 확률 보다는 추락할 확률이 훨씬 큰 들어가면 죽는 차트.... 세력놈들은 다 해먹고 나가고... 개인들만 바글바글.... 물타기도 하면 안되는 수급 상태 입니다. 세력놈들 평단 5000원대 매집해서... 30,000원까지 해먹고 나간 종목 입니다... 현재는 단타치는 놈들이 조금 모았다가 짧게 조금씩 먹고 장난치는 종목 입니다. 절대로 들어가거나 물타기 하지 마세요",['매수해야겠구나'],301,9,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304039483&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,5천원 짜리 추가상장 ㅊㅊ,qbgh****,잘가세요 ~,[],129,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304039124&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,어제 오른거 다. 빠졌뿟네?,jaey****,아~~~~ 내일도 빠져?? 물타기 들어가야긋넹?ㅎ,[],140,0,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304037414&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,내가 2개월존버중임,hyun****,니들이 오늘 매수하면 사자마자 막쳐올려야댐? 스벌 ~ 주식 그렇게 쉬우면 다 돈벌겐네 ㅋ ㅋ 단타치다 거지된다 ㅋ ㅋ ㅋ ㅋ 평단 10865원,"['욕심만 그득한 걸배이쉐ㄱ. ㅋㅋㅋ', '3만에 안팔고 머했노?ㅋㅋㄱㅋ']",387,9,4,https://finance.naver.com/item/board_read.naver?code=389140&nid=304034109&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,와우~ 평단 넘사벽이네...ㅎㅎㅎ,lwh8****,"어떻게 중간에 안팔고 버티셨네~ 대단... 나는 연상 중단때 익절 한번 하고 17,000원 재입성~ㅎㅎㅎ",['자랑질그만해라평단6000원이다'],235,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304034386&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]포바이포 이회사는....,kang****,주식으로 장난질하고 있는 놈들이 있는것 같아요,[],26,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304040880&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,오를만 하면 던지고,go20****,이런것들은 쉽게 오르기 힘들것네,['대표가 반성 많이해야겠음..'],97,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304032657&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,1500까지 담아본다 시외마무리,rlaq****,500만사려고했는데 더눌림 ㄱㅅㄱㅅ,[],93,0,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304032450&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,기대심리,meta****,"실적없이 기대심리로 오른 주식에다가 대주주가 주식 팔아서 배 채우고, 답 없는 주식이다",[],69,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304032247&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,K9 자주포,hse7****,잘 팔리고 있다네요,['근데 뭐?'],101,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304032031&st=&sw=&page=60,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,K9 자주포,hse7****,잘 팔리고 있다네요,['근데 뭐?'],102,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304032031&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,시외,jeus****,대단하다.겁주고 저가 매매...ㅋㅋㅋ,[],104,1,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304031234&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,차트상,lee3****,"19100원 지지라인. 운전 어떻게 하는지 관찰 중. 내일은 거래량 100만주 내외, 추가 하락 예상함. 25000원 까지는 ㅇㆍ 언제든지 고고씽이라 존버 예정. 내일 19100~19200원에서 분봉보면서 추매 예정.","['차트좀 볼줄아너ㅋ', '옴맴매 불쌍한것']",249,2,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304031039&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,여긴 뭐 만드는곳임?,7000****,쥐포 만드나? 북어포 만드나? ㅋ,"['거북포', '나무젓가락 공장이라네요', '쓰리포', '육포']",174,0,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304030835&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,오른 만큼 빠졌으니....,mrya****,내일 다시 빨간 불자동차겠네....,['하여튼 창의력 없는 XX ㅋㅋ밑에 글봐라 ㅋㅋㅋ'],206,4,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304030409&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,500만 시외에서 담아봅니다,rlaq****,발만 담궈봅니다,"['켘ㅋㅋㅋㅋㅋㅋㅋ', '싼맛에 담긴하는데 ㅋㅋㅋㅋㅋ 어정쩡하네']",237,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029677&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,더 떨궈서 파세요 줍줍 감사,zaq3****,더 많이 떨궈서 팔아주면 감사감사 내가 주워갈께유~,"['니엠휘나 주워', '양넘들이 다 팔고 나갔으니, 또 내일부터 양넘들이 줍줍하겠네 ㅠㅠㅠ', '이미 시외 줍줍시작', '나도 있으니 줄을 서시오~!']",196,5,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029275&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,더 떨궈서 파세요 줍줍 감사,jeus****,굿잡...^^*,[],45,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029385&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]물린애들 필독,dong****,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대놓고 알바질 ㅋㅋㅋㅋㅋ 무지성매수 강요보소 전사의심장 이러고있누,['채팅방이뭔데 톡방 파라니까 못파노 ㅋㅋㅋㅋㅋ 알바자슥'],99,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304029434&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,뭔가 완성되려면,ma******,끝에가서 돈이 부족하지. 포바가 사기를 전제로 맘만먹으면 몇백만주 추가상장할수 있겠지. 딸랑 57000주! 뭔가 확실하니까 그만큼만 하는거다.,[],140,3,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028919&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,포 만드는회사,hse7****,K9 자주포 잘 팔리는데 주가꼬라지가,[],46,0,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028778&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,젠슨 황 엔비디아 CEO “AI는 위대한 평준화 도구… 코딩 몰라도 개발자 돼”,zaq3****,젠슨 황 엔비디아 CEO “AI는 위대한 평준화 도구… 코딩 몰라도 개발자 돼” 출처 : 조선비즈 | 네이버 - https://naver.me/xZjh6FOB,[],210,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028725&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,솔직하자 우리,leol****,조카가 결혼식장 안가것냐? 가면 누구있어 거의다 정치인들 민주당인데 누구세요 이러면 위세아이텍 대표입니다 하겠지 먼생각하겠어 정치인들이 재명이형한테 잘보일라고 막도와주겠지 ㅋㅋㅋ 큰그림 안보임지금? 지금 사야되 진짜 이성적으러 내가한말 맞자나 포바이포 크라욱위드인가 머시기 이런거 밀어줄고같에? ㅋㅋㅋㅋ 위세아이텍 사라 난팁준거다,['이것도 알바 냄새 나네'],109,1,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028607&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,시외...,jeus****,이넘들 눌러서 싸게 먹어버리네...,[],103,2,1,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028407&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,쫄보들,ksjo****,5만7천주로 쫄기는 새가슴이가 ~~~,['전체 주식수의 한 0.2% 되겠네'],155,7,3,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028228&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,안티가 많으니 내일 올라가겠구만,r2******,누군지 몰라도 일부러 노골적으로 안티짓거리 하는데 . 그걸보고 누가 매도하냐?,[],70,4,2,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028163&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
포바이포,389140,2025-06-10,[삭제된 게시물의 답글]추가상장~추가상장~하앙까~신나능노랭~,jeus****,고생한다. 추가상장을 500만주정도 하지...너무 찔끔하네...ㅠㅠ,[],36,0,0,https://finance.naver.com/item/board_read.naver?code=389140&nid=304028182&st=&sw=&page=61,21대,이재명,정책주,2025-05-03,2025-06-10
