stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
﻿넥스트아이,137940,2025-06-10,주가 동전주 근데 주식수 봐라 ㅋㅋㅋ,dach****,답 나오노,['사장님 자장면 곱배기하나요. 결재는 넥스트아이 20주로 할께요.'],212,2,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=304039103&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,회사 재무제표 보고 투자하냐?,dach****,그냥 막 투자?,[],141,3,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=304038819&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,손해봐도,cpfl****,언능 팔아요. 빨리 손해봐도 파세요,[],126,2,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=304038012&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,오늘 기분이 좀 울적했습니다,jay_****,그래서 넥스트아이 보고 기분 좋아지려고 들어왔습니다 펨베들아 아...기분 좋다 우리 좋은 하루 보내자,[],122,2,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=304029225&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,고위험주 섹터가 올지도 모름,hss0****,메디콕스 재료없는 시외상을 미루어보앗을때 내일 메디콕스 점상 못잡으면 그나마 수급이 잠시있엇던 넥스트아이 소비중 할것입니다..,['형님 추가 설명 가능할까요?'],100,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=304028280&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,다음에 또 이걸 보면,ri******,눈알을 파야된다 상?각 적자기업....,[],71,2,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303996708&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,그나마 이재명 대통령께,hhhg****,고마워해라 지금 코스피 겁나 오르니 그나마 낙폭 줄인거다 ㅎ,['머리에 털달린 펨코들이 잘해주면 고마운지나 알겠어요.무슨 이유를 만들어 비웃을지 그거나 생각하겠죠.'],121,6,2,https://finance.naver.com/item/board_read.naver?code=137940&nid=303995071&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,상냄새나,kn******,음,"['참 J어능하다..너네들은 사회생활은 하고 있냐?', '매집을 무슨코메디같어', '문닫아도 오백원']",153,0,1,https://finance.naver.com/item/board_read.naver?code=137940&nid=303981887&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,시진핑 실각설 나옴.,tr******,9월 전에 시진핑 물러날 거라는 이야기 나왔다. 가족 안위 보장으로 자진 하야 하겠다고,"['공산당 말믿지 맙시다', '후진타오 연관주 맞음??']",176,1,0,https://finance.naver.com/item/board_read.naver?code=137940&nid=303966933&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
넥스트아이,137940,2025-06-10,차기대통령각하 이준석,rx******,5년뒤에 뵙겠습니다 전 오직 이준석 차기대통령각하만 응원합니다 위대한 텐배거의 서막 이것은 실현된다,"['이준석 수령님과 펨코 동무들?', '30년은 걸린다']",112,3,4,https://finance.naver.com/item/board_read.naver?code=137940&nid=303966456&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
